"X","Y_true","Y_pred"
"youri","யூரி","யூரி"
"preim","பிரேம்","பிராஸ்"
"elimaiyaaka","எளிமையாக","எளிமையாக"
"kwantam","குவாண்டம்","குவாண்டம்"
"yavvithamaana","எவ்விதமான","எவ்விதலான"
"sangavai","சங்கவை","சங்கவை"
"kooldan","கோல்டன்","கோட்டன்"
"kaaliyaa","காலியா","காலியா"
"malargalaik","மலர்களைக்","மலங்களைக்"
"masuuthikku","மசூதிக்கு","மலுவிக்கு"
"oththulaikka","ஒத்துழைக்க","ஒத்துமைக்க"
"nayathodu","நயத்தோடு","ராயத்தோட்டு"
"thaankakkoodiya","தாங்கக்கூடிய","தாங்கக்கூடிய"
"malarae","மலரே","மலனே"
"kulaththai","குளத்தை","குலத்தை"
"latchiyaththirgum","இலட்சத்திற்கும்","மட்சியத்திற்கும்"
"periyarin","பெரியாரின்","பெரியனின்"
"vaethangkalil","வேதங்களில்","வேதங்களில்"
"ekkoottaththil","இக்கூட்டத்தில்","இக்கொட்டத்தில்"
"siiv","சிவ","சிய்"
"kuvindhu","குவிந்து","குவிந்து"
"maeman","மேமன்","மேமன்"
"kuttangalukku","கூட்டங்களுக்கு","குட்டங்களுக்கு"
"ahmedabad","அகமதாபாத்","ஆலோடப்பட்"
"mikkavaraaga","மிக்கவராக","மிக்கவராக"
"saadhagam","சாதகம்","சாதகம்"
"puudaan","பூடான்","பூட்டார்"
"kadambur","கடம்பூர்","கடம்பூர்"
"appakuthikalil","அப்பகுதிகளில்","அப்பகுதிகளில்"
"thattaan","தட்டான்","தட்டான்"
"kulanggal","குளங்கள்","குழங்கள்"
"tharavugalaith","தரவுகளைத்","தரவுகளைத்"
"vikkiraman","விக்கிரமன்","விக்கிரமர்"
"varappoakum","வரப்போகும்","வரப்போகும்"
"aatharikkavillai","ஆதரிக்கவில்லை","ஆதரிகளில்லை"
"padangalukkum","படங்களுக்கும்","படங்களுக்கும்"
"simon","சைமன்","சிலின்"
"betles","பீட்டில்ஸ்","பாட்டாஸ்"
"theepan","தீபன்","தீபர்"
"paantavarkalai","பாண்டவர்களை","பாண்டவர்களை"
"cheyalmuraikku","செயல்முறைக்கு","செயல்லுலைக்கு"
"akamatapat","அகமதாபாத்","அகலமாப்ட்"
"bakaa","பகா","பக்கா"
"paandavargalum","பாண்டவர்களும்","பாண்டவர்களும்"
"valukku","வழுக்கு","வழுக்கு"
"seerudaikal","சீருடைகள்","சூருடைகள்"
"aayinar","ஆயினர்","ஆய்யன்"
"aappirikkaavilum","ஆப்பிரிக்காவிலும்","ஆப்பிரிகாகவில்"
"chankangal","சங்கங்கள்","சங்கங்கள்"
"thoontriyathaal","தோன்றியதால்","தோன்றியதால்"
"serwer","சர்வர்","செர்வன்"
"pozhudupoakku","பொழுதுபோக்கு","பொழும்புக்கு"
"ahmedabadthil","அகமதாபாத்தில்","ஆலோடப்பட்டில்"
"pyjmies","பியார்","பில்லியம்"
"seithamaiyaal","செய்தமையால்","செய்தலையால்"
"vicarikka","வழக்கு","விசரிக்க"
"ameriqa","அமெரிக்கா","அமெரிக்க"
"arivulla","அறிவுள்ள","அறிவுள்ள"
"cakkarattai","சக்கரத்தை","சக்கணாத்தை"
"maaligaiyilirundhu","மாளிகையிலிருந்து","மாழிகையிலிருந்து"
"vangkadhaesam","வங்கதேசம்","வங்கத்தல்"
"pankuthararkal","பங்குதாரர்கள்","பங்குதாரங்கள்"
"naattavargazh","நாட்டவர்கள்","நாட்டவர்கள்"
"bogie","போகி","பெக்கி"
"vinjchiya","விஞ்சிய","விருசிய"
"appadiyaanaal","அப்படியானால்","அப்படியானால்"
"nadhiyaana","நதியான","நதியான"
